Level;Frage;RichitgeAntwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
1;In welcher italienischen Stadt, steht der berühmte schiefe Turm der Welt ?;Pisa;Rom;Moskau;Mailand
1;In welchem europäischen Land herrscht Linksverkehr ?;England;Niederlande;Belgien;Spanien
1;Wieviele Beine hat eine Spinne?;8;6;4;7
1;Wie heißt der freche Kobold von Meister Eder?;Pumuckel;Peter;Pokemon;Puta
2;Ludwig ist beim Arzt und bekommt drei Tabletten, die er alle 30 Minuten innehmen soll. Wann nimmt er die letzte ?;60min;30min;90min;120min;
2;Welches der unten genannten Lebensmittel enthält am meisten Eisen?;Schokolade;Spinat;Rindfleisch;Aprikosen
2;Stimmt es, dass die Herstellung einer Cola­Dose etwa gleich viel kostet, wie die Herstellung des Colas, das darin enthaltenen ist?;nein, die Dose ist teurer als das Cola;nein, das Cola ist teurer als die Dose;ja, beides kostet etwa gleich viel;Egal , solang Whisky drin ist
2;Warum macht ein Ukrainer namens "Leonid Stadnik" keine Diät, obwohl er 210 kg wiegt?;Weil er nicht dick ist;weil er aus beruflichen Gründen dick sein muss;weil er krankheitsbedingt viel Fett essen muss;weil er damit ein Wette verlieren würde
3;Wovon bekommen wir die meiste radioaktive Strahlung ab?;von der natürlichen Strahlung der Erde;von Atomkraftwerken und radioaktivem Abfall;von zurückliegenden Atombomben­Tests;aus dem Weltraum
3;Was bekam man beim weltweit ersten Münzautomat für sein Geld?;Weihwasser;Kaugummi;Schokolade;Brot
3;In welcher europäischen Stadt gibt es die meisten Brücken?;Hamburg;Venedig;Amsterdam;Barcelona
3;Wodurch "trocknet" Sekundenkleber?;Feuchtigkeit;Sauerstoff;Wärme;Kälte
4;Warum berichteten im August 2004 weltweit einige Zeitungen darüber, dass eine 13­jährige in China raucht und Passanten um Zigaretten anbettelt?;weil sie gar kein Mensch ist;weil sie dafür eine Gefängnisstrafe bekam;weil ihr jemand vergiftete Zigaretten gab;weil sie Sex dafür anbot
4;1999 sprach man vom Jahr­2000­Problem. Man befürchtete, dass zum Jahrtausendwechsel sämtliche Computer verrückt spielen. Tatsächlich gab es aber ein ganz anderes Jahr­ 2000 ­Problem,aber wo?;auf Friedhöfen;am Nordpol;vor Parkhäusern;hinterm Mond
4;Am 21. Dezember 1992 kam ein Mann aus North Carolina auf mysteriöse Weise ums Leben nachdem sein Telefon klingelte. Was war passiert?;Er griff versehentlich neben den Hörer.;Er bekam einen elektrischen Schlag.;Er erschrak sich über den Anrufer zu Tode.;Der Anrufer hypnotisierte ihn.
4;Wie hoch ist die Höchstleistung eines durchschnittlichen Pferdes?;über 10 PS;unter 0,1 PS;etwa 1 PS;10 PS
5;Wieviel Prozent Kalbsleber muß in einer Kalbsleberwurst mindestens enthalten sein?;0 Prozent;5 Prozent;30 Prozent;100 Prozent
5;Wie hoch ist die Überlebens­Chance eines Menschen, der direkt vom Blitz getroffen wird?;Zwei von drei;3 prozent;jeder 2.;jeder überlebt
5;Was bedeutet die Abkürzung WLAN?;Wireless Local Area Network;Wild life Animal Network;Wireless Local Advanced Network;Wow Lol amk Noob
5;Mit welcher nummer werden Wertpapiere gekennzeichnet?;ISIN;ISDN;IBAN;ISBN
